date,league,home,away,dangerousAttackHome tempo total,dangerousAttackAway tempo total,dangerousAttackHome 1 tempo,dangerousAttackAway 2 tempo,shotsHome tempo total,shotsAway tempo total,shotsHome primeiro tempo,shotsAway primeiro tempo,corner_pct %
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,1
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,1
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,1
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,1
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,0.21
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,0.31
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,0.35
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,0.61
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,0.67
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,0.81
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,0.88
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,0.92
2019-01-24,Greece Cup,Panathinaikos,Lamia,145,40,38,17,16,6,5,2,0.98
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,1
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.95
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.63
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.62
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.6
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.57
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.54
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.52
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.5
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.47
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.47
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.45
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.43
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.33
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.28
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.05
2019-01-26,Bolivia Apertura,Guabira,Nacional Potosi,141,77,59,38,20,4,14,3,0.05
2019-01-26,Costa Rica Segunda,Curridabat FC,Sporting San Jose,139,210,58,88,3,3,2,2,0.94
2019-01-26,Costa Rica Segunda,Curridabat FC,Sporting San Jose,139,210,58,88,3,3,2,2,0.78
2019-01-26,Costa Rica Segunda,Curridabat FC,Sporting San Jose,139,210,58,88,3,3,2,2,0.73
2019-01-26,Costa Rica Segunda,Curridabat FC,Sporting San Jose,139,210,58,88,3,3,2,2,0.67
2019-01-26,Costa Rica Segunda,Curridabat FC,Sporting San Jose,139,210,58,88,3,3,2,2,0.28
2019-01-26,Costa Rica Segunda,Curridabat FC,Sporting San Jose,139,210,58,88,3,3,2,2,0.16
2019-01-26,Costa Rica Segunda,Curridabat FC,Sporting San Jose,139,210,58,88,3,3,2,2,0.14
2019-01-26,Costa Rica Segunda,Curridabat FC,Sporting San Jose,139,210,58,88,3,3,2,2,0.07
2019-01-26,Costa Rica Segunda,Curridabat FC,Sporting San Jose,139,210,58,88,3,3,2,2,0.04
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.98
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.97
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.95
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.95
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.94
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.9
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.87
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.84
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.65
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.64
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.63
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.6
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.58
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.54
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.5
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.5
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.5
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.24
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.17
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.15
2019-01-26,Brazil Campeonato Paulista A2,XV Piracicaba,Nacional SP,139,46,61,28,6,2,4,2,0.05
2019-01-22,South Africa Premier,Orlando Pirates,Baroka FC,133,35,56,17,27,10,13,7,1
2019-01-22,South Africa Premier,Orlando Pirates,Baroka FC,133,35,56,17,27,10,13,7,0.14
2019-01-22,South Africa Premier,Orlando Pirates,Baroka FC,133,35,56,17,27,10,13,7,0.26
2019-01-22,South Africa Premier,Orlando Pirates,Baroka FC,133,35,56,17,27,10,13,7,0.46
2019-01-22,South Africa Premier,Orlando Pirates,Baroka FC,133,35,56,17,27,10,13,7,0.5
2019-01-22,South Africa Premier,Orlando Pirates,Baroka FC,133,35,56,17,27,10,13,7,0.52
2019-01-22,South Africa Premier,Orlando Pirates,Baroka FC,133,35,56,17,27,10,13,7,0.84
2019-01-22,South Africa Premier,Orlando Pirates,Baroka FC,133,35,56,17,27,10,13,7,0.93
